scientific name,common name,feeding guild,size guild,adv group,note
Mustelus mustelus,smooth hound,demersal piscivore,large sharks,demersal,
Mustelus spp,smooth-hounds,demersal benthivore,large sharks,demersal,**
Myoxocephalus scorpius,bull-rout,demersal benthivore,medium demersal,demersal,
Necora puber,velvet crab,crustacean,crustacean,shellfish,**
Nephrops norvegicus,norwegian lobster,crustacean,crustacean,shellfish,**
Octopodidae,octopusses,cephalopods,cephalopods,cephalopods,**
Octopus vulgaris,common octopus,cephalopods,cephalopods,cephalopods,**
Ommastrephidae,flying squid,cephalopods,cephalopods,cephalopods,
Osteichthyes,bony fish,,,,**
Other,,,,,
Pagellus acarne,axillary seabream,benthopelagic benthivore,small benthopelagic,pelagic,**
Pagellus bogaraveo,blackspot seabream,benthopelagic benthivore,medium benthopelagic,pelagic,**
Pagellus erythrinus,common pandora,benthopelagic benthivore,medium benthopelagic,pelagic,**
Pagrus pagrus,red porgy,benthopelagic benthivore,large benthopelagic,pelagic,**
Pandalus borealis,northern prawn,crustacean,shrimp,shellfish,**
Pecten maximus,great atlantic scallop,bivalve,bivalve,shellfish,
Perca fluviatilis,european perch,pelagic piscivore,medium pelagic,pelagic,**
Perciformes,perch-like fish,,,,**
Pholis gunnellus,butterfish,demersal benthivore,small demersal,demersal,
Phycis blennoides,greater forkbeard,benthopelagic benthivore,large benthopelagic,pelagic,**
Phycis phycis,forkbeard,benthopelagic benthivore,medium benthopelagic,pelagic,**
Platichthys flesus,flounder,demersal benthivore,medium demersal,demersal,
Pleuronectes platessa,plaice,demersal benthivore,large demersal,demersal,
Pleuronectiformes,flatfishes,flatfish,flatfish,demersal,**
Pollachius pollachius,pollock,demersal piscivore,large benthopelagic,demersal,
Pollachius virens,saithe,demersal piscivore,large demersal,demersal,
Polyprion americanus,wreckfish,demersal benthivore,large demersal,demersal,**
Prionace glauca,blue shark,pelagic piscivore,large sharks,pelagic,**
Psetta maxima,turbot,demersal piscivore,large demersal,demersal,*
Raja batis,skate,demersal benthivore,large rays,demersal,
Raja brachyura,blonde ray,demersal benthivore,large rays,demersal,
Raja circularis,sandy ray,demersal benthivore,large rays,demersal,
Raja clavata,roker,demersal benthivore,large rays,demersal,
Raja fullonica,shagreen ray,demersal benthivore,large rays,demersal,
Raja microocellata,small-eyed ray,demersal benthivore,medium rays,demersal,**
Raja montagui,spotted ray,demersal benthivore,medium rays,demersal,
Raja naevus,cuckoo ray,demersal benthivore,medium rays,demersal,
Raja radiata,starry ray,demersal piscivore,large rays,demersal,
Raja spp,skates,demersal benthivore,large rays,demersal,*
Raja undulata,Undulate ray,demersal omnivore,Large rays,elasmobranchs,**
Rajidae,rays and skates,demersal benthivore,,Elasmobranchs,**
Rajiformes,rays and skates,,,elasmobranchs,**
Reinhardtius hippoglossoides,greenland halibut,pelagic piscivore,large benthopelagic,pelagic,**
Rostroraja alba,White skate,demersal omnivore,Large rays,elasmobranchs,**
Salmo salar,salmon,pelagic piscivore,large benthopelagic,pelagic,**
Salmo trutta,sea-trout,demersal piscivore,large pelagic,demersal,
Sander lucioperca,pike-perch,pelagic piscivore,large pelagic,pelagic,**
Sarda sarda,atlantic bonito,pelagic piscivore,large pelagic,pelagic,**
Sardina pilchardus,european pilchard,pelagic planktivore,small pelagics,pelagic,**
Scomber japonicus,chub mackerel,pelagic planktivore,medium pelagics,pelagic,**
Scomber scomber,mackerel,pelagic piscivore,medium pelagic,pelagic,
Scomber scombrus,mackerel,pelagic piscivore,medium pelagic,pelagic,*
Scophthalmus maximus,turbot,demersal piscivore,large demersal,demersal,
Scophthalmus rhombus,brill,demersal piscivore,medium demersal,demersal,
Scorpaena spp,scorpionfishes,,,,*
Scyliorhinus canicula,lesser spotted dogfish,demersal benthivore,large sharks,demersal,**
Scyliorhinus caniculus,dogfish,demersal piscivore,large demersal,demersal,
Scyliorhinus spp,catsharks/nursehounds,,,elasmobranchs,**
Scyliorhinus stellaris,Greater-spotted dogfish,demersal benthivore,Large sharks,elasmobranchs,**
Scyliorhinus stellaris,nursehound,demersal benthivore,large sharks,demersal,**
Sebastes marinus,red-fish,demersal piscivore,medium demersal,demersal,
Sebastes spp,red-fish,demersal piscivore,medium pelagic,demersal,*
Sebastes viviparus,norway haddock,demersal piscivore,medium demersal,demersal,
Sepia officinalis,common cuttlefish,cephalopods,cephalopods,cephalopods,**
Sepiidae,cuttlefish,cephalopods,cephalopods,cephalopods,
Solea lascaris,sand sole,demersal benthivore,small-medium flatfishes,demersal,
Solea solea,sole,demersal benthivore,medium demersal,demersal,
Sparus aurata,gilthead seabream,demersal benthivore,medium demersal,demersal,**
Spondyliosoma cantharus,black seabream,benthopelagic benthivore,medium benthopelagic,pelagic,**
Sprattus sprattus,sprat,pelagic planktivore,small pelagic,pelagic,
Squalus acanthias,spurdog,demersal piscivore,large sharks,demersal,
Squatina squatina,Angel shark,demersal piscivore,Large sharks,elasmobranchs,**
